HS 2012 Product Code,HS 2012 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
271020,"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the bas",271000,"Petroleum oils, etc, (excl. crude); preparation"
271091,"Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)",271000,"Petroleum oils, etc, (excl. crude); preparation"
271099,Other,271000,"Petroleum oils, etc, (excl. crude); preparation"
271111,Natural gas,271111,"Natural gas, liquefied"
271112,Propane,271112,"Propane, liquefied"
271113,Butanes,271113,"Butanes, liquefied"
271114,"Ethylene, propylene, butylene and butadiene",271114,"Ethylene, propylene, butylene and butadiene, li"
271119,Other,271119,"Petroleum gases and other gaseous hydrocarbons,"
271121,Natural gas,271121,Natural gas in gaseous state
271129,Other,271129,Petroleum gases and other gaseous hydrocarbons
271210,Petroleum jelly,271210,Petroleum jelly
271220,Paraffin wax containing by weight less than 0.75 % of oil,271220,"Paraffin wax, containing <0.75% oil"
271290,Other,271290,"Other paraffin wax... and similar products, nes"
271311,Not calcined,271311,"Petroleum coke, not calcined"
271312,Calcined,271312,Calcined petroleum coke
271320,Petroleum bitumen,271320,Petroleum bitumen
271390,Other residues of petroleum oils or of oils obtained from bituminous minerals,271390,"Other residues of petroleum oils , etc"
271410,Bituminous or oil shale and tar sands,271410,Bituminous or oil shale and tar sands
271490,Other,271490,Bitumen and asphalt; natural asphaltites and as
271500,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs).",271500,"Bituminous mixtures based on natural asphalt, b"
271600,Electrical energy. (optional heading),271600,Electrical energy
280110,Chlorine,280110,Chlorine
280120,Iodine,280120,Iodine
280130,Fluorine; bromine,280130,Fluorine; bromine
280200,"Sulphur, sublimed or precipitated; colloidal sulphur.",280200,"Sulphur, sublimed or precipitated; colloidal su"
280300,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).,280300,Carbon (carbon blacks and other forms of carbon
280410,Hydrogen,280410,Hydrogen
280421,Argon,280421,Argon
280429,Other,280429,Rare gases (excl. argon)
280430,Nitrogen,280430,Nitrogen
280440,Oxygen,280440,Oxygen
280450,Boron; tellurium,280450,Boron; tellurium
280461,Containing by weight not less than 99.99 % of silicon,280461,Silicon containing by weight >=99.99% silicon
280469,Other,280469,Silicon containing by weight <99.99% silicon
280470,Phosphorus,280470,Phosphorus
280480,Arsenic,280480,Arsenic
280490,Selenium,280490,Selenium
280511,Sodium,280511,Sodium
280512,Calcium,280521,Calcium
280519,Other,280519,Alkali metals (excl. sodium)
280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",280530,"Rare-earth metals, scandium and yttrium"
280540,Mercury,280540,Mercury
280610,Hydrogen chloride (hydrochloric acid),280610,Hydrogen chloride (hydrochloric acid)
280620,Chlorosulphuric acid,280620,Chlorosulphuric acid
280700,Sulphuric acid; oleum.,280700,Sulphuric acid; oleum
280800,Nitric acid; sulphonitric acids.,280800,Nitric acid; sulphonitric acids
280910,Diphosphorus pentaoxide,280910,Diphosphorus pentaoxide
280920,Phosphoric acid and polyphosphoric acids,280920,Phosphoric acid and polyphosphoric acids
281000,Oxides of boron; boric acids.,281000,Oxides of boron; boric acids
281111,Hydrogen fluoride (hydrofluoric acid),281111,Hydrogen fluoride (hydrofluoric acid)
281119,Other,281119,"Other inorganic acids, nes"
281121,Carbon dioxide,281121,Carbon dioxide
281122,Silicon dioxide,281122,Silicon dioxide
281129,Other,281129,"Other inorganic oxygen compounds of non-metals,"
281210,Chlorides and chloride oxides,281210,Chlorides and chlorides oxides of non-metals
281290,Other,281290,"Halides and halide oxides of non-metals, nes"
281310,Carbon disulphide,281310,Carbon disulphide
281390,Other,281390,Sulphides of non-metals (excl. carbon)commercia
281410,Anhydrous ammonia,281410,Anhydrous ammonia
281420,Ammonia in aqueous solution,281420,Ammonia in aqueous solution
281511,Solid,281511,"Sodium hydroxide (caustic soda), solid"
281512,In aqueous solution (soda lye or liquid soda),281512,Sodium hydroxide in aqueous solution (soda lye
281520,Potassium hydroxide (caustic potash),281520,Potassium hydroxide (caustic potash)
281530,Peroxides of sodium or potassium,281530,Peroxides of sodium or potassium
281610,Hydroxide and peroxide of magnesium,281610,Hydroxide and peroxide of magnesium
281640,"Oxides, hydroxides and peroxides, of strontium or barium",281630,"Oxide, hydroxide and peroxide of barium"
281700,Zinc oxide; zinc peroxide.,281700,Zinc oxide; zinc peroxide
281810,"Artificial corundum, whether or not chemically defined",281810,"Artificial corundum, whether or not chemically"
281820,"Aluminium oxide, other than artificial corundum",281820,"Aluminium oxide, other than artificial corundum"
281830,Aluminium hydroxide,281830,Aluminium hydroxide
281910,Chromium trioxide,281910,Chromium trioxide
281990,Other,281990,Chromium oxides and hydroxides (excl. chromium
282010,Manganese dioxide,282010,Manganese dioxide
282090,Other,282090,Manganese oxides (excl. manganese dioxide)
282110,Iron oxides and hydroxides,282110,Iron oxides and hydroxides
282120,Earth colours,282120,Earth colours containing >=70% iron(III)oxide
282200,Cobalt oxides and hydroxides; commercial cobalt oxides.,282200,Cobalt oxides and hydroxides; commercial cobalt
282300,Titanium oxides.,282300,Titanium oxides
282410,"Lead monoxide (litharge, massicot)",282410,"Lead monoxide (litharge, massicot)"
282490,Other,282420,Red lead and orange lead
282510,Hydrazine and hydroxylamine and their inorganic salts,282510,Hydrazine and hydroxylamine and their inorganic
282520,Lithium oxide and hydroxide,282520,Lithium oxide and hydroxide
282530,Vanadium oxides and hydroxides,282530,Vanadium oxides and hydroxides
282540,Nickel oxides and hydroxides,282540,Nickel oxides and hydroxides
282550,Copper oxides and hydroxides,282550,Copper oxides and hydroxides
282560,Germanium oxides and zirconium dioxide,282560,Germanium oxides and zirconium dioxides
282570,Molybdenum oxides and hydroxides,282570,Molybdenum oxides and hydroxides
282580,Antimony oxides,282580,Antimony oxides
282590,Other,282590,"Other inorganic bases; other metal oxides, hydr"
282612,Of aluminium,282612,Fluorides of aluminium
282619,Other,282619,"Fluorides, nes"
282630,Sodium hexafluoroaluminate (synthetic cryolite),282630,Sodium hexafloroaluminate (synthetic cryolite)
282690,Other,282690,Fluoroaluminates and other complex fluorine sal
282710,Ammonium chloride,282710,Ammonium chloride
282720,Calcium chloride,282720,Calcium chloride
282731,Of magnesium,282731,Magnesium chloride
282732,Of aluminium,282732,Aluminium chloride
282735,Of nickel,282735,Nickel chloride
282739,Other,282739,"Chlorides, nes"
282741,Of copper,282741,Chloride oxides and chloride hydroxides of copp
282749,Other,282749,Chloride oxides and chloride hydroxides (excl.
282751,Bromides of sodium or of potassium,282751,Bromides of sodium or of potassium
282759,Other,282759,Bromides and bromide oxides (excl. of sodium an
282760,Iodides and iodide oxides,282760,Iodides and iodide oxides
282810,Commercial calcium hypochlorite and other calcium hypochlorites,282810,Commercial calcium hypochlorite and other calci
282890,Other,282890,Hypochlorites (excl. of calcium) and chlorites;
282911,Of sodium,282911,Chlorates of sodium
282919,Other,282919,Chlorates (excl. of sodium)
282990,Other,282990,Perchlorates; bromates and perbromates; iodates
283010,Sodium sulphides,283010,Sodium sulphides
283090,Other,283090,Other sulphides and polysulphides
283110,Of sodium,283110,Dithionites and sulphoxylates of sodium
283190,Other,283190,Dithionites and sulphoxylates (excl. of sodium)
283210,Sodium sulphites,283210,Sodium sulphites
283220,Other sulphites,283220,Sulphites (excl. sodium)
283230,Thiosulphates,283230,Thiosulphates
283311,Disodium sulphate,283311,Disodium sulphate
283319,Other,283319,Sodium sulphates (excl. disodium sulphate)
283321,Of magnesium,283321,Sulphates of magnesium
283322,Of aluminium,283322,Sulphates of aluminium
283324,Of nickel,283324,Sulphates of nickel
283325,Of copper,283325,Sulphates of copper
283327,Of barium,283327,Sulphates of barium
283329,Other,283329,"Other sulphates, nes"
283330,Alums,283330,Alums
283340,Peroxosulphates (persulphates),283340,Peroxosulphates (persulphates)
283410,Nitrites,283410,Nitrites
283421,Of potassium,283421,Nitrates of potassium
283429,Other,283429,Nitrates of barium; of beryllium; of cadmium; o
283510,Phosphinates (hypophosphites) and phosphonates (phosphites),283510,Phosphinates and phosphonates
283522,Of mono- or disodium,283522,Phosphates of mono or disodium
283524,Of potassium,283524,Phosphates of potassium
283525,Calcium hydrogenorthophosphate (“dicalcium phosphate”),283525,Calcium hydrogenorthophosphate (dicalcium phosp
283526,Other phosphates of calcium,283526,"Phosphates of calcium, nes"
283529,Other,283529,Phosphates (excl. polyphosphates)
283531,Sodium triphosphate (sodium tripolyphosphate),283531,Sodium triphosphate (sodium tripolyphosphates)
283539,Other,283539,"Polyphosphates, nes"
283620,Disodium carbonate,283620,Disodium carbonate
283630,Sodium hydrogencarbonate (sodium bicarbonate),283630,Sodium hydrogencarbonate (sodium bicarbonate)
283640,Potassium carbonates,283640,Potassium carbonates
283650,Calcium carbonate,283650,Calcium carbonate
283660,Barium carbonate,283660,Barium carbonate
283691,Lithium carbonates,283691,Lithium carbonates
283692,Strontium carbonate,283692,Strontium carbonate
283699,Other,283699,Other carbonates; peroxocarbonates
283711,Of sodium,283711,Cyanides and cyanide oxides of sodium
283719,Other,283719,"Cyanides, cyanide oxides (excl. sodium)"
283720,Complex cyanides,283720,Complex cyanides
283911,Sodium metasilicates,283911,Sodium metasilicates
283919,Other,283919,Silicates of sodium (excl. metasilicates)
283990,Other,283990,Other silicates (excl. of sodium and potassium)
284011,Anhydrous,284011,Anhydrous disodium tetraborate (refined borax)
284019,Other,284019,"Disodium tetraborate, not anhydrous"
284020,Other borates,284020,"Other borates, nes"
284030,Peroxoborates (perborates),284030,Peroxoborates
284130,Sodium dichromate,284130,Sodium dichromate
284150,Other chromates and dichromates; peroxochromates,284150,"Other chromates and dichromates, nes; peroxochr"
284161,Potassium permanganate,284160,"Manganites, manganates and permanganates"
284169,Other,284160,"Manganites, manganates and permanganates"
284170,Molybdates,284170,Molybdates
284180,Tungstates (wolframates),284180,Tungstates (wolframates)
284190,Other,284190,Other salts of oxometallic and peroxometallic a
284210,"Double or complex silicates, including aluminosilicates whether or not chemically defined",382390,Chemical products and residual products of chem
284290,Other,284290,Other salts of inorganic acids or peroxoacids (
284310,Colloidal precious metals,284310,Colloidal precious metals
284321,Silver nitrate,284321,Silver nitrate
284329,Other,284329,Silver compounds (excl. silver nitrate)
284330,Gold compounds,284330,Gold compounds
284390,Other compounds; amalgams,284390,"Other compounds, nes, and amalgams of precious"
284410,"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",284410,"Natural uranium and its compounds, etc"
284420,"Uranium enriched in U 235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products",284420,Enriched uranium and plutonium and their compou
284430,"Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products",284430,Depleted uranium and thorium and their compound
284440,"Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",284440,Radioactive elements/isotopes and their compoun
284450,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,284450,Spent (irradiated) fuel elements (cartridges) o
284510,Heavy water (deuterium oxide),284510,Heavy water (deuterium oxide)
284590,Other,284590,Other isotopes and their inorganic or organic c
284610,Cerium compounds,284610,Cerium compounds
284690,Other,284690,"Compounds, inorganic or organic, of rare-earth"
284700,"Hydrogen peroxide, whether or not solidified with urea.",284700,Hydrogen peroxide
284800,"Phosphides, whether or not chemically defined, excluding ferrophosphorus.",284890,"Phosphides of other metals, nes, or of non-meta"
284910,Of calcium,284910,Carbides of calcium
284920,Of silicon,284920,Carbides of silicon
284990,Other,284990,Other carbides (excl. of calcium and silicon)
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 28.49.",285000,"Hydrides, nitrides, azides, silicides and borid"
285210,Chemically defined,382390,Chemical products and residual products of chem
285290,Other,382390,Chemical products and residual products of chem
285300,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals.",285100,Other inorganic compounds; liquid air; compress
290110,Saturated,290110,"Acyclic hydrocarbons, saturated"
290121,Ethylene,290121,Ethylene
290122,Propene (propylene),290122,Propene (propylene)
290123,Butene (butylene) and isomers thereof,290123,Butene (butylene) and isomers thereof
290124,"Buta-1,3-diene and isoprene",290124,"Buta-1,3-diene and isoprene"
290129,Other,290129,"Unsaturated acyclic hydrocarbons, nes"
290211,Cyclohexane,290211,Cyclohexane
290219,Other,290219,"Cyclanes, cyclenes and cycloterpenes"
290220,Benzene,290220,Benzene
290230,Toluene,290230,Toluene
290241,o-Xylene,290241,o-Xylene
290242,m-Xylene,290242,m-Xylene
290243,p-Xylene,290243,p-Xylene
290244,Mixed xylene isomers,290244,Mixed xylene isomers
290250,Styrene,290250,Styrene
290260,Ethylbenzene,290260,Ethylbenzene
290270,Cumene,290270,Cumene
290290,Other,290290,"Other cyclic hydrocarbons, nes"
290311,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),290311,Chloromethane (methyl chloride) and chloroethan
290312,Dichloromethane (methylene chloride),290312,Dichloromethane (methylene chloride)
290313,Chloroform (trichloromethane),290313,Chloroform (trichloromethane)
290314,Carbon tetrachloride,290314,Carbon tetrachloride
290315,"Ethylene dichloride (ISO) (1,2-dichloroethane)",290315,"1,2-Dichloroethane (ethylene dichloride)"
290319,Other,290319,Saturated chlorinated derivatives of acyclic hy
290321,Vinyl chloride (chloroethylene),290321,Vinyl chloride (chloroethylene)
290322,Trichloroethylene,290322,Trichloroethylene
290323,Tetrachloroethylene (perchloroethylene),290323,Tetrachloroethylene (perchloroethylene)
290329,Other,290329,Unsaturated chlorinated derivatives of acyclic
290331,"Ethylene dibromide (ISO) (1,2-dibromoethane)",290330,"Fluorinated, brominated or iodinated derivitive"
290339,Other,290330,"Fluorinated, brominated or iodinated derivitive"
290371,Chlorodifluoromethane,290340,Halogenated derivatives of acyclic hydrocarbons
290372,Dichlorotrifluoroethanes,290340,Halogenated derivatives of acyclic hydrocarbons
290373,Dichlorofluoroethanes,290340,Halogenated derivatives of acyclic hydrocarbons
290374,Chlorodifluoroethanes,290340,Halogenated derivatives of acyclic hydrocarbons
290375,Dichloropentafluoropropanes,290340,Halogenated derivatives of acyclic hydrocarbons
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",290340,Halogenated derivatives of acyclic hydrocarbons
290377,"Other, perhalogenated only with fluorine and chlorine",290340,Halogenated derivatives of acyclic hydrocarbons
290378,Other perhalogenated derivatives,290340,Halogenated derivatives of acyclic hydrocarbons
290379,Other,290340,Halogenated derivatives of acyclic hydrocarbons
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",290351,"1,2,3,4,5,6-Hexachlorocyclohexane"
290382,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)",290359,Halogenated derivatives of cyclanic... cycloter
290389,Other,290359,Halogenated derivatives of cyclanic... cycloter
290391,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene",290361,"Chlorobenzene, o-dichlorobenzene and p-dichloro"
290392,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)",290362,"Hexachlorobenzene and DDT(1,1,1-trichloro-2,2-b"
290399,Other,290369,Halogenated derivatives of aromatic hydrocarbon
290410,"Derivatives containing only sulpho groups, their salts and ethyl esters",290410,Hydrocarbon derivatives containing only sulpho
290420,Derivatives containing only nitro or only nitroso groups,290420,Hydrocarbon derivatives containing only nitro/n
290490,Other,290490,"Sulphonated, nitrated or nitrosated derivatives"
290511,Methanol (methyl alcohol),290511,Methanol (methyl alcohol)
290512,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),290512,Propan-1-ol (propyl alcohol) and propan-2-ol (i
290513,Butan-1-ol (n-butyl alcohol),290513,Butan-1-ol (n-butyl alcohol)
290514,Other butanols,290514,"Other butanols, nes"
290516,Octanol (octyl alcohol) and isomers thereof,290516,Octanol (octyl alcohol) and isomers thereof
290517,"Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)",290517,"Dodecan-1-ol, hexadecan-1-ol and octadecan-1-ol"
290519,Other,290519,"Saturated monohydric alcohols, nes"
290522,Acyclic terpene alcohols,290522,Acyclic terpene alcohols
290529,Other,290529,"Unsaturated monohydric alcohols, nes"
290531,Ethylene glycol (ethanediol),290531,Ethylene glycol (ethanediol)
290532,"Propylene glycol (propane-1,2-diol)",290532,"Propylene glycol (propane-1,2-diol)"
290539,Other,290539,"Other diols, nes"
290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)",290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trim"
290542,Pentaerythritol,290542,Pentaerythritol
290543,Mannitol,290543,Mannitol
290544,D-glucitol (sorbitol),290544,D-glucitol (sorbitol)
290545,Glycerol,152090,"Glycerol (excl. crude), including synthetic"
290549,Other,290549,"Other polyhydric alcohols, nes"
290551,Ethchlorvynol (INN),290550,Halogenated... or nitrosated derivatives of acy
290559,Other,290550,Halogenated... or nitrosated derivatives of acy
290611,Menthol,290611,Menthol
290612,"Cyclohexanol, methylcyclohexanols and dimethylcyclo-hexanols",290612,"Cyclohexanol, methylcyclohexanols and dimethylc"
290613,Sterols and inositols,290613,Sterols and inositols
290619,Other,290619,"Cyclanic, cyclenic or cycloterpenic alcohols an"
290621,Benzyl alcohol,290621,Benzyl alcohol
290629,Other,290629,"Aromatic alcohols and their derivatives, nes"
290711,Phenol (hydroxybenzene) and its salts,290711,Phenol (hydroxybenzene) and its salts
290712,Cresols and their salts,290712,Cresols and their salts
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",290713,"Octylphenol, nonylphenol and their isomers; sal"
290715,Naphthols and their salts,290715,Naphthols and their salts
290719,Other,290719,"Other monophenols, nes"
290721,Resorcinol and its salts,290721,Resorcinol and its salts
290722,Hydroquinone (quinol) and its salts,290722,Hydroquinone (quinol) and its salts
290723,"4,4'-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts",290723,"4,4-Isopropylidenediphenol (bisphenol A, diphen"
290729,Other,290729,"Other polyphenols, nes"
290811,Pentachlorophenol (ISO),290810,Phenol or phenol-alcohol derivatives containing
290819,Other,290810,Phenol or phenol-alcohol derivatives containing
290891,Dinoseb (ISO) and its salts,290890,Other halogenated... or nitrosated derivatives
290892,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts",290890,Other halogenated... or nitrosated derivatives
290899,Other,290890,Other halogenated... or nitrosated derivatives
290911,Diethyl ether,290911,Diethyl ether
290919,Other,290919,Other acyclic ethers and their halogenated... d
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",290920,"Cyclanic, cyclenic... ethers and their halogena"
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",290930,Aromatic ethers and their halogenated... deriva
290941,"2,2'-Oxydiethanol (diethylene glycol, digol)",290941,"2,2-Oxydiethanol (diethylene glycol, digol)"
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,290943,Monobutyl ethers of ethylene glycol or of dieth
290944,Other monoalkylethers of ethylene glycol or of diethylene glycol,290944,Other monoalkylethers of ethylene glycol or of
290949,Other,290949,Other acyclic ether-alcohols and their halogena
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",290950,"Ether-phenols, ether-alcohol-phenols and haloge"
290960,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",290960,"Alcohol, ether and ketone peroxides and their.."
291010,Oxirane (ethylene oxide),291010,Oxirane (ethylene oxide)
291020,Methyloxirane (propylene oxide),291020,Methyloxirane (propylene oxide)
291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)",291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)"
291040,"Dieldrin (ISO, INN)",291090,Epoxides... with a three-membered ring and deri
291090,Other,291090,Epoxides... with a three-membered ring and deri
291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",291100,Acetals and hemiacetals and their halogenated..
291211,Methanal (formaldehyde),291211,Methanal (formaldehyde)
291212,Ethanal (acetaldehyde),291212,Ethanal (acetaldehyde)
291219,Other,291219,"Other acyclic aldehydes, without oxygen functio"
291221,Benzaldehyde,291221,Benzaldehyde
291229,Other,291229,"Other cyclic aldehydes, without oxygen function"
291241,Vanillin (4-hydroxy-3-methoxybenzaldehyde),291241,Vanillin (4-hydroxy-3-methoxybenzaldehyde)
291242,Ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde),291242,Ethylvanillin (3-ethoxy-4-methoxybenzaldehyde)
291249,Other,291249,"Aldehyde-ethers, aldehyde-phenols, aldehydes, w"
291250,Cyclic polymers of aldehydes,291250,Cyclic polymers of aldehydes
291260,Paraformaldehyde,291260,Paraformaldehyde
291300,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12.",291300,"Halogenated, sulphonated, nitrated or nitrosate"
291411,Acetone,291411,Acetone
291412,Butanone (methyl ethyl ketone),291412,Butanone (methyl ethyl ketone)
291413,4-Methylpentan-2-one (methyl isobutyl ketone),291413,4-Methylpentan-2-one (methyl isobutyl ketone)
291419,Other,291419,"Other acyclic ketones, without oxygen function,"
291422,Cyclohexanone and methylcyclohexanones,291422,Cyclohexanone and methylcyclohexanones
291423,Ionones and methylionones,291423,Ionones and methylionones
291429,Other,291429,"Cyclanic, cyclenic or cycloterpenic ketones wit"
291431,Phenylacetone (phenylpropan-2-one),291430,Aromatic ketones without oxygen function
291439,Other,291430,Aromatic ketones without oxygen function
291440,Ketone-alcohols and ketone-aldehydes,291449,Ketone-alcohols and ketone-aldehydes (excl. dia
291450,Ketone-phenols and ketones with other oxygen function,291450,Ketone-phenols and ketones with oxygen function
291461,Anthraquinone,291461,Anthraquinone
291469,Other,291469,Quinones (excl. anthraquinone)
291470,"Halogenated, sulphonated, nitrated or nitrosated derivatives",291470,Halogenated... or nitrosated derivatives of ket
291511,Formic acid,291511,Formic acid
291512,Salts of formic acid,291512,Salts of formic acid
291513,Esters of formic acid,291513,Esters of formic acid
291521,Acetic acid,291521,Acetic acid
291524,Acetic anhydride,291524,Acetic anhydride
291529,Other,291529,Salts of acetic acid (excl. of sodium and cobal
291531,Ethyl acetate,291531,Ethyl acetate
291532,Vinyl acetate,291532,Vinyl acetate
291533,n-Butyl acetate,291533,n-Butyl acetate
291536,Dinoseb (ISO) acetate,291539,"Other esters of acetic acids, nes"
291539,Other,291539,"Other esters of acetic acids, nes"
291540,"Mono-, di- or trichloroacetic acids, their salts and esters",291540,"Mono-, di- or trichloroacetic acids, their salt"
291550,"Propionic acid, its salts and esters",291550,"Propionic acid, its salts and esters"
291560,"Butanoic acids, pentanoic acids, their salts and esters",291560,"Butyric acids, valeric acids, their salts and e"
291570,"Palmitic acid, stearic acid, their salts and esters",291570,"Palmitic acid, stearic acid, their salts and es"
291590,Other,291590,Saturated acyclic monocarboxylic acids and thei
291611,Acrylic acid and its salts,291611,Acrylic acid and its salts
291612,Esters of acrylic acid,291612,Esters of acrylic acid
291613,Methacrylic acid and its salts,291613,Methacrylic acid and its salts
291614,Esters of methacrylic acid,291614,Esters of methacrylic acid
291615,"Oleic, linoleic or linolenic acids, their salts and esters",291615,"Oleic, linoleic or linolenic acids, their salts"
291616,Binapacryl (ISO),291619,Unsaturated acyclic monocarboxylic acids and th
291619,Other,291619,Unsaturated acyclic monocarboxylic acids and th
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291620,"Cyclanic...cycloterpenic monocarboxylic acids,"
291631,"Benzoic acid, its salts and esters",291631,"Benzoic acid, its salts and esters"
291632,Benzoyl peroxide and benzoyl chloride,291632,Benzoyl peroxide and benzoyl chloride
291634,Phenylacetic acid and its salts,291633,"Phenylacetic acid, its salts and esters"
291639,Other,291639,"Aromatic monocarboxylic acids, etc, their... de"
291711,"Oxalic acid, its salts and esters",291711,"Oxalic acid, its salts and esters"
291712,"Adipic acid, its salts and esters",291712,"Adipic acid, its salts and esters"
291713,"Azelaic acid, sebacic acid, their salts and esters",291713,"Azelaic acid, sebacic acid, their salts and est"
291714,Maleic anhydride,291714,Maleic anhydride
291719,Other,291719,"Acyclic polycarboxylic acids, etc, their... der"
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291720,"Cyclanic... cycloterpenic polycarboxylic acids,"
291732,Dioctyl orthophthalates,291732,Dioctyl orthophthalates
291733,Dinonyl or didecyl orthophthalates,291733,Dinonyl or didecyl orthophthalates
291734,Other esters of orthophthalic acid,291734,"Other esters of orthophthalic acid, nes"
291735,Phthalic anhydride,291735,Phthalic anhydride
291736,Terephthalic acid and its salts,291736,Terephthalic acid and its salts
291737,Dimethyl terephthalate,291737,Dimethyl terephthalate
291739,Other,291739,"Aromatic polycarboxylic acids, etc, their... de"
291811,"Lactic acid, its salts and esters",291811,"Lactic acid, its salts and esters"
291812,Tartaric acid,291812,Tartaric acid
291813,Salts and esters of tartaric acid,291813,Salts and esters of tartaric acid
291814,Citric acid,291814,Citric acid
291815,Salts and esters of citric acid,291815,Salts and esters of citric acid
291816,"Gluconic acid, its salts and esters",291816,"Gluconic acid, its salts and esters"
291818,Chlorobenzilate (ISO),291819,"Carboxylic acids with alcohol function, without"
291819,Other,291819,"Carboxylic acids with alcohol function, without"
291821,Salicylic acid and its salts,291821,Salicylic acid and its salts
291822,"O-Acetylsalicylic acid, its salts and esters",291822,"O-Acetylsalicylic acid, its salts and esters"
291823,Other esters of salicylic acid and their salts,291823,Other esters of salicylic acid and their salts
291829,Other,291829,"Carboxylic acids with phenol function, without"
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291830,"Carboxylic acids with aldehyde, ketone but with"
291891,"2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",291890,"Carboxylic acids with oxygen function, etc, the"
291899,Other,291890,"Carboxylic acids with oxygen function, etc, the"
291910,"Tris(2,3-dibromopropyl) phosphate",291900,"Phosphoric esters, etc (incl. lactophosphates);"
291990,Other,291900,"Phosphoric esters, etc (incl. lactophosphates);"
292011,Parathion (ISO) and parathion-methyl (ISO) (methyl-parathion),292010,Triophosphoric esters (phosphorothioates) their
292019,Other,292010,Triophosphoric esters (phosphorothioates) their
292090,Other,292090,Esters of other inorganic acids (excl. of hydro
292111,"Methylamine, di- or trimethylamine and their salts",292111,"Methylamine, di- or trimethylamine and their sa"
292119,Other,292119,"Acylic monoamines and their derivatives, nes; s"
292121,Ethylenediamine and its salts,292121,Ethylenediamine and its salts
292122,Hexamethylenediamine and its salts,292122,Hexamethylenediamine and its salts
292129,Other,292129,"Acyclic polyamines and their derivatives, nes;"
292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",292130,Cyclanic...or cycloterpenic mono- or polyamines
292141,Aniline and its salts,292141,Aniline and its salts
